timestamp,open,high,low,close,volume
2020-07-17 19:25:00,125.4800,125.4800,125.4800,125.4800,100
2020-07-17 19:05:00,125.2400,125.2400,125.2400,125.2400,200
2020-07-17 19:00:00,125.4000,125.4000,125.2400,125.2400,1048
2020-07-17 18:40:00,125.3000,125.3000,125.3000,125.3000,248
2020-07-17 18:35:00,125.3500,125.3500,125.3000,125.3000,399
2020-07-17 18:30:00,125.3500,125.3500,125.3000,125.3000,1205
2020-07-17 18:15:00,125.3000,125.3000,125.3000,125.3000,500
2020-07-17 18:00:00,125.0800,125.0800,125.0800,125.0800,1001
2020-07-17 17:25:00,125.1100,125.1100,125.1100,125.1100,400
2020-07-17 17:15:00,125.0500,125.0500,125.0500,125.0500,141
2020-07-17 17:05:00,125.0000,125.0000,125.0000,125.0000,131
2020-07-17 16:45:00,125.0200,125.0200,125.0200,125.0200,100
2020-07-17 16:30:00,125.1100,125.1100,125.0800,125.0800,870
2020-07-17 16:20:00,125.1100,125.1100,125.1100,125.1100,1056
2020-07-17 16:10:00,125.1098,125.1098,125.1098,125.1098,509
2020-07-17 16:05:00,125.1200,125.1200,125.1100,125.1100,54772
2020-07-17 16:00:00,125.2150,125.4200,125.1200,125.1200,209197
2020-07-17 15:55:00,125.4200,125.4600,125.2100,125.2100,132680
2020-07-17 15:50:00,125.4300,125.4800,125.2750,125.4300,115918
2020-07-17 15:45:00,125.3285,125.4800,125.2800,125.4350,95866
2020-07-17 15:40:00,125.4400,125.4900,125.2800,125.3200,65961
2020-07-17 15:35:00,125.3400,125.4500,125.2700,125.4300,51005
2020-07-17 15:30:00,125.1100,125.3400,125.0600,125.3400,53525
2020-07-17 15:25:00,125.1700,125.2700,125.0450,125.1100,41282
2020-07-17 15:20:00,125.0200,125.1965,124.9700,125.1800,32291
2020-07-17 15:15:00,125.3200,125.3200,124.9600,125.0300,56379
2020-07-17 15:10:00,125.3450,125.4699,125.2500,125.3169,62385
2020-07-17 15:05:00,125.5450,125.5500,125.3500,125.3500,61370
2020-07-17 15:00:00,125.5800,125.6200,125.5450,125.5500,30281
2020-07-17 14:55:00,125.5950,125.6300,125.5087,125.5700,60339
2020-07-17 14:50:00,125.5900,125.6000,125.5600,125.6000,49073
2020-07-17 14:45:00,125.5600,125.6300,125.5100,125.5900,61907
2020-07-17 14:40:00,125.3500,125.5595,125.3150,125.5595,50409
2020-07-17 14:35:00,125.3200,125.4100,125.2700,125.3500,34523
2020-07-17 14:30:00,125.2300,125.3400,125.2222,125.3300,22792
2020-07-17 14:25:00,125.2500,125.2900,125.1900,125.2400,20727
2020-07-17 14:20:00,125.1350,125.2800,125.1322,125.2500,45501
2020-07-17 14:15:00,125.0200,125.1600,125.0100,125.1200,25107
2020-07-17 14:10:00,124.9200,125.1000,124.9000,125.0150,35313
2020-07-17 14:05:00,124.9400,124.9500,124.8465,124.9500,30063
2020-07-17 14:00:00,125.0200,125.0250,124.9000,124.9250,18725
2020-07-17 13:55:00,124.9500,125.0300,124.8600,125.0300,19219
2020-07-17 13:50:00,125.0500,125.0500,124.8940,124.9600,22171
2020-07-17 13:45:00,124.9200,125.0600,124.9100,125.0600,21323
2020-07-17 13:40:00,124.9200,124.9800,124.8750,124.9100,20069
2020-07-17 13:35:00,125.0150,125.0300,124.9000,124.9000,26320
2020-07-17 13:30:00,125.0300,125.0800,124.9200,125.0000,39225
2020-07-17 13:25:00,124.8400,125.0300,124.8400,125.0100,71957
2020-07-17 13:20:00,124.9400,124.9400,124.7700,124.8300,39787
2020-07-17 13:15:00,124.8800,124.9500,124.8400,124.9400,21519
2020-07-17 13:10:00,124.7400,124.9000,124.7400,124.8900,20503
2020-07-17 13:05:00,124.7800,124.8100,124.7150,124.7206,20000
2020-07-17 13:00:00,124.8500,124.9300,124.7750,124.7750,23924
2020-07-17 12:55:00,124.7300,124.9000,124.7200,124.8500,31930
2020-07-17 12:50:00,124.6950,124.8400,124.6900,124.7600,21747
2020-07-17 12:45:00,124.7516,124.8900,124.6700,124.7100,44266
2020-07-17 12:40:00,124.7203,124.8100,124.7200,124.7400,58098
2020-07-17 12:35:00,124.3581,124.7400,124.3500,124.7100,161854
2020-07-17 12:30:00,124.4700,124.4800,124.3400,124.3522,20508
2020-07-17 12:25:00,124.3700,124.4600,124.3615,124.4600,39624
2020-07-17 12:20:00,124.3950,124.4400,124.3450,124.3700,18385
2020-07-17 12:15:00,124.3900,124.4400,124.3300,124.4000,22406
2020-07-17 12:10:00,124.3600,124.4800,124.3500,124.3950,28517
2020-07-17 12:05:00,124.4600,124.4600,124.3022,124.3600,27208
2020-07-17 12:00:00,124.2700,124.4600,124.2700,124.4600,17715
2020-07-17 11:55:00,124.2156,124.3500,124.1634,124.2800,26584
2020-07-17 11:50:00,124.3398,124.3600,124.2000,124.2310,22470
2020-07-17 11:45:00,124.4400,124.5200,124.3000,124.3600,27837
2020-07-17 11:40:00,124.4600,124.5600,124.3700,124.4150,21575
2020-07-17 11:35:00,124.3900,124.5942,124.3900,124.4700,24262
2020-07-17 11:30:00,124.4454,124.4600,124.2900,124.3818,25597
2020-07-17 11:25:00,124.3100,124.4600,124.3000,124.4500,20619
2020-07-17 11:20:00,124.4300,124.5500,124.2951,124.3000,24043
2020-07-17 11:15:00,124.3500,124.4900,124.3200,124.4599,20060
2020-07-17 11:10:00,124.3800,124.5400,124.2000,124.3200,41810
2020-07-17 11:05:00,124.2800,124.4400,124.2800,124.3800,26423
2020-07-17 11:00:00,124.2500,124.3200,124.2100,124.3200,47175
2020-07-17 10:55:00,124.1200,124.3200,124.0700,124.2500,29347
2020-07-17 10:50:00,123.9000,124.1500,123.8600,124.1300,33595
2020-07-17 10:45:00,124.0500,124.1677,123.8700,123.8700,32595
2020-07-17 10:40:00,124.0200,124.2850,123.9600,124.0500,43384
2020-07-17 10:35:00,124.0000,124.0500,123.8100,124.0100,29405
2020-07-17 10:30:00,123.9200,124.0100,123.6900,124.0100,30031
2020-07-17 10:25:00,124.0800,124.1500,123.8500,123.9200,25121
2020-07-17 10:20:00,123.9616,124.1200,123.9100,124.0900,16284
2020-07-17 10:15:00,123.8500,124.1350,123.8100,123.9400,26886
2020-07-17 10:10:00,123.8200,123.9200,123.7301,123.8300,28815
2020-07-17 10:05:00,123.9600,124.1000,123.6500,123.8250,46248
2020-07-17 10:00:00,124.0300,124.0500,123.7000,123.9600,31682
2020-07-17 09:55:00,123.9734,124.2500,123.9734,124.0400,38167
2020-07-17 09:50:00,124.2400,124.2500,123.9000,123.9000,45744
2020-07-17 09:45:00,123.5900,124.2788,123.5400,124.1884,58391
2020-07-17 09:40:00,123.6000,123.9600,123.5400,123.5600,52972
2020-07-17 09:35:00,124.3900,124.3900,123.2000,123.6000,481630
2020-07-17 09:30:00,124.0700,124.0700,123.8700,123.8700,1876
2020-07-17 08:25:00,124.2500,124.2500,124.2500,124.2500,115
2020-07-17 08:10:00,123.8000,123.8000,123.8000,123.8000,158
2020-07-17 07:05:00,123.9000,123.9000,123.9000,123.9000,100
2020-07-16 19:55:00,123.7400,123.7400,123.7400,123.7400,100
2020-07-16 19:30:00,123.6600,123.6600,123.6400,123.6400,300
